stn,date,temperature,wind_speed,precipitation
744860,2020-01-28,41,14.4,0
725030,2020-01-27,40.5,12.2,0
744860,2020-01-27,40.5,12.7,0
725030,2020-01-26,42.7,10,0.78
744860,2020-01-26,42.5,11.3,0.89
725030,2020-01-25,41.4,12.6,0
744860,2020-01-25,42,13.5,0
725030,2020-01-24,40.6,5.2,0
744860,2020-01-24,40.6,4.2,0
725030,2020-01-23,37.9,3.5,0
744860,2020-01-23,34.5,5.2,0
725030,2020-01-22,31.1,4.2,0
744860,2020-01-22,29.7,4.8,0
725030,2020-01-21,25.8,9.4,0
744860,2020-01-21,25.8,8.8,0
725030,2020-01-20,27.4,16.3,0
744860,2020-01-20,27.8,16.5,0
725030,2020-01-19,38.6,12.7,0.18
744860,2020-01-19,39.7,14.1,0.58
725030,2020-01-18,23.6,7.3,0
744860,2020-01-18,24.7,8.5,0
725030,2020-01-17,29.3,19.2,0.02
744860,2020-01-17,29.8,21.2,0
725030,2020-01-16,45,14,0.1
744860,2020-01-16,44.9,15.1,0.03
725030,2020-01-15,44.4,6.7,0.07
744860,2020-01-15,45.6,6.9,0.03
725030,2020-01-14,41.2,6.3,0
744860,2020-01-14,41.8,4.6,0
725030,2020-01-13,42.9,8.3,0
744860,2020-01-13,44.3,7.5,0
725030,2020-01-12,60.2,14,0.06
744860,2020-01-12,57.8,19.6,0.03
725030,2020-01-11,54.8,8.9,0
744860,2020-01-11,50,12,0
725030,2020-01-10,40.1,7.9,0
744860,2020-01-10,39.1,7.8,0
725030,2020-01-09,28.8,12.8,0
744860,2020-01-09,29,13,0
725030,2020-01-08,36.5,13,0
744860,2020-01-08,36.6,14.7,0.03
725030,2020-01-07,41.2,8.8,0
744860,2020-01-07,40.2,8.5,0
725030,2020-01-06,37.2,10.3,0.02
744860,2020-01-06,37.5,11.8,0.03
725030,2020-01-05,40.3,19,0.01
744860,2020-01-05,41.3,19.7,0.02
725030,2020-01-04,47.1,4.4,0.32
744860,2020-01-04,47.1,5.2,0.23
725030,2020-01-03,46.6,4.7,0.05
744860,2020-01-03,44.1,5.6,0.04
725030,2020-01-02,39.8,8.6,0
744860,2020-01-02,37.9,10.1,0
725030,2020-01-01,39.8,13.7,0.01
744860,2020-01-01,39.8,15.1,0
